Číslo inzerátu:,Internet:,Dispozice:,Plocha:,Cena:,Poplatky:,Vratná kauce:,Město:,Městská část:,Typ vlastnictví:,Typ budovy:,Vybavenost:,Podlaží:,Balkón:,Terasa:,Výtah:,Garáž:,Provedení:,Typ vytápění:,Podlaží v rámci domu:,Předzahrádka:,Rekonstrukce:,lat,long,K dispozici od:,PENB:,Stáří:,Novostavba:
427251,,3+1,145.0,30000.0,4.900 Kč,35.000 Kč,Praha,Nové Město,Osobní,Cihla,Částečně,2,Ne,Ano,Ne,Ne,nadstandardní: nadstandardní použité materiály a technologie,centrální,první až předposlední podlaží,16 m²,vše,50.090822,14.4293197,,,,
455020,,1+kk,31.0,15000.0,1.500 Kč,16.500 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ne,Ne,,,,,,50.0796951,14.4226227,21. 09. 2020,,,
627055,,3+kk,117.0,22950.0,4.950 Kč,27.900 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,2,Ano,Ne,Ne,Ne,nadstandardní: nadstandardní použité materiály a technologie,plynový kotel,první až předposlední podlaží,,vše,50.080329,14.419564,20. 09. 2020,G,1 - 10,
599979,,1+kk,28.0,12000.0,3.000 Kč,15.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,6,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,centrální,podkroví,,vše,50.086305,14.429421,23. 03. 2020,D,1 - 10,
599687,,1+kk,30.0,12000.0,3.000 Kč,20.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,3,Ne,Ne,Ano,Ne,nadstandardní: nadstandardní použité materiály a technologie,centrální,první až předposlední podlaží,,vše,50.086305,14.429421,23. 03. 2020,D,1 - 10,
622655,,1+1,45.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,2,Ne,Ne,Ano,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
626494,,4+kk,78.0,24000.0,6.000 Kč,30.000 Kč,Praha,Nové Město,Osobní,Cihla,,1,Ne,Ne,Ne,Ne,,,,,,50.09078,14.435003,16. 09. 2020,G,,
622692,,1+kk,32.0,16350.0,5.450 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ne,Ano,Ne,,,,,,50.0913707,14.4312801,05. 10. 2020,,,
622665,,1+kk,24.0,16857.0,5.619 Kč,,Praha,Nové Město,,,Vybavený,1,Ne,Ne,Ne,Ne,,,,,,50.0914256,14.4307293,21. 09. 2020,,,
622652,,3+kk,70.0,22569.0,7.523 Kč,,Praha,Nové Město,,,Vybavený,6,Ne,Ne,Ano,Ne,,,,,,50.0923827,14.4343624,01. 10. 2020,,,
622691,,3+kk,80.0,29925.0,9.975 Kč,,Praha,Nové Město,,,Vybavený,5,Ne,Ne,Ano,Ne,,,,,,50.0739646,14.4285676,21. 09. 2020,,,
622858,,1+1,55.0,17250.0,5.750 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ne,Ne,Ne,,,,,,50.0767004,14.4222865,21. 09. 2020,,,
622841,,3+kk,,56250.0,18.750 Kč,,Praha,Nové Město,,,Vybavený,4,Ne,Ne,Ano,Ne,,,,,,50.0757302,14.4269087,21. 09. 2020,,,
623756,,2+kk,35.0,12000.0,4.000 Kč,12.000 Kč,Praha,Nové Město,Osobní,Cihla,Vybavený,1,Ne,Ano,Ne,Ne,standardní: běžné materiály a technologie,,první až předposlední podlaží,,interiér,50.09078,14.435003,01. 09. 2020,G,1 - 10,
625605,,1+kk,28.0,9500.0,2.500 Kč,12.000 Kč,Praha,Nové Město,Osobní,Cihla,,,Ne,Ne,Ne,Ne,,,,,,50.09078,14.435003,10. 09. 2020,G,,
598811,,3+kk,80.0,14500.0,600 Kč,14.500 Kč,Praha,Nové Město,Osobní,Cihla,Nevybavený,2,Ne,Ne,Ne,Ne,standardní: běžné materiály a technologie,plynový kotel,první až předposlední podlaží,,,50.075923,14.42155,05. 10. 2020,G,,
626203,,2+1,57.0,19000.0,2.815 Kč,22.000 Kč,Praha,Nové Město,Osobní,Cihla,,4,Ne,Ne,Ano,Ne,,,,,,50.091713,14.435731,01. 10. 2020,E,,
626972,,2+1,93.0,22000.0,700 Kč,25.000 Kč,Praha,Nové Město,Osobní,Cihla,,1,Ne,Ne,Ne,Ne,,,,,,50.076132,14.415252,01. 10. 2020,F,,
